time,C_vaccine_Ninj3,C_vaccine_Ninj2,C_vaccine_Ninj1
1.34,56.755928,85.32755,1481.986
1.345,56.74174,85.30622,1481.6156
1.35,56.72756,85.2849,1481.2452
1.355,56.71338,85.26358,1480.8749
1.36,56.699203,85.24226,1480.5048
1.365,56.685028,85.22096,1480.1346
1.37,56.67086,85.19966,1479.7646
1.375,56.656693,85.17835,1479.3948
1.38,56.64253,85.15707,1479.0249
1.385,56.628372,85.13578,1478.6553
1.39,56.614216,85.1145,1478.2856
1.395,56.600067,85.09322,1477.9161
1.4,56.58592,85.07195,1477.5468
1.405,56.57177,85.05068,1477.1774
1.41,56.55763,85.02943,1476.8081
1.415,56.543495,85.00817,1476.439
1.42,56.529358,84.98692,1476.0698
1.425,56.51523,84.965675,1475.7009
1.43,56.501102,84.94444,1475.332
1.435,56.486977,84.9232,1474.9633
1.44,56.47286,84.90198,1474.5946
1.445,56.45874,84.88075,1474.226
1.45,56.44463,84.859535,1473.8574
1.455,56.430515,84.838326,1473.489
1.46,56.416412,84.817116,1473.1207
1.465,56.40231,84.79591,1472.7524
1.47,56.388214,84.77472,1472.3843
1.475,56.374115,84.753525,1472.0162
1.48,56.360027,84.732346,1471.6483
1.485,56.345936,84.71117,1471.2804
1.49,56.331852,84.68999,1470.9126
1.495,56.317772,84.66882,1470.545
1.5,56.30369,84.64765,1470.1774
1.505,56.28962,84.626495,1469.8099
1.51,56.275547,84.60534,1469.4425
1.515,56.261482,84.58419,1469.0752
1.52,56.247417,84.56305,1468.708
1.525,56.233356,84.54191,1468.3408
1.53,56.2193,84.520775,1467.9738
1.535,56.205246,84.49965,1467.6068
1.54,56.191196,84.47852,1467.24
1.545,56.17715,84.45741,1466.8732
1.55,56.16311,84.436295,1466.5065
1.555,56.14907,84.41519,1466.1399
1.56,56.135036,84.39409,1465.7734
1.565,56.121002,84.37299,1465.4071
1.57,56.106976,84.351906,1465.0408
1.575,56.09295,84.33082,1464.6746
1.58,56.078926,84.30974,1464.3083
1.585,56.06491,84.288666,1463.9424
1.59,56.050896,84.26759,1463.5764
1.595,56.036884,84.24653,1463.2107
1.6,56.022877,84.22547,1462.8448
1.605,56.008873,84.204414,1462.4791
1.61,55.994873,84.18337,1462.1136
1.615,55.980873,84.16232,1461.7482
1.62,55.966885,84.14129,1461.3828
1.625,55.952892,84.120255,1461.0175
1.63,55.938908,84.09923,1460.6522
1.635,55.924923,84.0782,1460.2871
1.64,55.910946,84.05719,1459.9221
1.645,55.89697,84.03618,1459.5571
1.65,55.88299,84.01517,1459.1923
1.655,55.869026,83.99417,1458.8276
1.66,55.85506,83.973175,1458.4629
1.665,55.8411,83.95218,1458.0983
1.67,55.82714,83.9312,1457.7339
1.675,55.813187,83.91022,1457.3695
1.68,55.799232,83.889244,1457.0051
1.685,55.785286,83.86827,1456.641
1.69,55.77134,83.847305,1456.2769
1.695,55.7574,83.82635,1455.9128
1.7,55.74346,83.8054,1455.5488
1.705,55.729527,83.78445,1455.185
1.71,55.7156,83.763504,1454.8213
1.715,55.70167,83.74257,1454.4576
1.72,55.687748,83.721634,1454.0941
1.725,55.673824,83.7007,1453.7306
1.73,55.65991,83.67978,1453.3672
1.735,55.645996,83.65887,1453.0039
1.74,55.632088,83.637955,1452.6407
1.745,55.61818,83.61704,1452.2776
1.75,55.60428,83.596146,1451.9146
1.755,55.590378,83.57524,1451.5515
1.76,55.57648,83.55435,1451.1887
1.765,55.56259,83.53347,1450.826
1.77,55.548702,83.51259,1450.4634
1.775,55.534813,83.491714,1450.1007
1.78,55.520935,83.47085,1449.7383
1.785,55.507053,83.449974,1449.3759
1.79,55.49318,83.429115,1449.0135
1.795,55.47931,83.408264,1448.6515
1.8,55.46544,83.38741,1448.2893
1.805,55.451576,83.36657,1447.9272
1.81,55.437714,83.345726,1447.5653
1.815,55.423855,83.3249,1447.2035
1.82,55.41,83.30407,1446.8417
1.825,55.39615,83.28324,1446.48
1.83,55.3823,83.26243,1446.1184
1.835,55.368458,83.241615,1445.757
1.84,55.354618,83.2208,1445.3956
1.845,55.340782,83.200005,1445.0343
1.85,55.32695,83.17921,1444.6731
1.855,55.31312,83.15842,1444.312
1.86,55.299294,83.13763,1443.9509
1.865,55.28547,83.116844,1443.59
1.87,55.27165,83.09607,1443.2291
1.875,55.257835,83.075294,1442.8684
1.88,55.244022,83.054535,1442.5078
1.885,55.230213,83.03377,1442.1471
1.89,55.216404,83.01301,1441.7866
1.895,55.202606,82.99226,1441.4263
1.9,55.188805,82.97152,1441.0659
1.905,55.175007,82.950775,1440.7057
1.91,55.161217,82.930046,1440.3456
1.915,55.14743,82.90931,1439.9856
1.92,55.133644,82.88859,1439.6256
1.925,55.11986,82.86787,1439.2657
1.93,55.106083,82.84715,1438.9059
1.935,55.092308,82.82645,1438.5463
1.94,55.078537,82.80574,1438.1866
1.945,55.06477,82.78504,1437.8271
1.95,55.051006,82.76435,1437.4678
1.955,55.037247,82.74366,1437.1085
1.96,55.023483,82.72298,1436.7491
1.965,55.00973,82.70229,1436.39
1.97,54.995983,82.681625,1436.031
1.975,54.98223,82.66096,1435.672
1.98,54.96849,82.6403,1435.3132
1.985,54.95475,82.61964,1434.9545
1.99,54.941013,82.59898,1434.5957
1.995,54.92728,82.57834,1434.2372
2.0,54.91355,82.55769,1433.8785
2.005,54.899822,82.537056,1433.5201
2.01,54.886097,82.516426,1433.1617
2.015,54.87238,82.4958,1432.8035
2.02,54.858665,82.47518,1432.4454
2.025,54.84495,82.45457,1432.0874
2.03,54.83124,82.43395,1431.7294
2.035,54.817535,82.413345,1431.3715
2.04,54.803833,82.392746,1431.0137
2.045,54.790134,82.372154,1430.656
2.05,54.77644,82.35156,1430.2985
2.055,54.762745,82.33097,1429.9408
2.06,54.749054,82.310394,1429.5834
2.065,54.73537,82.28982,1429.2261
2.07,54.721687,82.26925,1428.8688
2.075,54.708008,82.24869,1428.5116
2.08,54.694336,82.22813,1428.1545
2.085,54.680664,82.20757,1427.7975
2.09,54.666992,82.18702,1427.4406
2.095,54.65333,82.16648,1427.0839
2.1,54.639668,82.145935,1426.727
2.105,54.626007,82.125404,1426.3705
2.11,54.612354,82.10487,1426.0139
2.115,54.5987,82.08435,1425.6573
2.12,54.585056,82.063835,1425.3011
2.125,54.57141,82.04332,1424.9448
2.13,54.557766,82.022804,1424.5885
2.135,54.54413,82.002304,1424.2324
2.14,54.530495,81.98181,1423.8765
2.145,54.516865,81.96132,1423.5205
2.15,54.50324,81.94083,1423.1648
2.155,54.489613,81.92034,1422.809
2.16,54.475994,81.89987,1422.4532
2.165,54.46238,81.8794,1422.0978
2.17,54.44876,81.858925,1421.7423
2.1750000000000003,54.435154,81.83847,1421.387
2.18,54.421547,81.81801,1421.0316
2.185,54.40794,81.797554,1420.6764
2.19,54.39434,81.77711,1420.3212
2.195,54.380745,81.75667,1419.9662
2.2,54.367153,81.73624,1419.6113
2.205,54.35356,81.715805,1419.2563
2.21,54.339973,81.69537,1418.9016
2.215,54.326393,81.67496,1418.547
2.22,54.312813,81.65454,1418.1924
2.225,54.299236,81.63413,1417.8379
2.23,54.28566,81.613716,1417.4834
2.235,54.27209,81.59332,1417.1292
2.24,54.258526,81.57293,1416.7749
2.245,54.24496,81.55253,1416.4207
2.25,54.231403,81.53215,1416.0667
2.255,54.217846,81.511765,1415.7126
2.26,54.204296,81.491394,1415.3589
2.265,54.190746,81.47102,1415.005
2.27,54.177197,81.45065,1414.6512
2.275,54.163654,81.43029,1414.2976
2.28,54.150116,81.409935,1413.9441
2.285,54.136578,81.38959,1413.5907
2.29,54.12305,81.36925,1413.2374
2.295,54.109516,81.34891,1412.884
2.3000000000000003,54.095993,81.32857,1412.5309
2.305,54.08247,81.30824,1412.1779
2.31,54.068954,81.28792,1411.8248
2.315,54.05544,81.2676,1411.4719
2.32,54.041924,81.247284,1411.119
2.325,54.028416,81.226974,1410.7664
2.33,54.014908,81.20667,1410.4137
2.335,54.00141,81.18637,1410.0612
2.34,53.98791,81.16608,1409.7086
2.345,53.974415,81.14579,1409.3563
2.35,53.960926,81.1255,1409.004
2.355,53.947433,81.105225,1408.6517
2.36,53.93395,81.08495,1408.2997
2.365,53.920467,81.06468,1407.9476
2.37,53.90699,81.04442,1407.5957
2.375,53.893513,81.024155,1407.2438
2.38,53.88004,81.00391,1406.8921
2.385,53.866573,80.98366,1406.5404
2.39,53.85311,80.96342,1406.1888
2.395,53.839645,80.94318,1405.8373
2.4,53.82619,80.92294,1405.486
2.405,53.812733,80.90272,1405.1345
2.41,53.79928,80.88249,1404.7832
2.415,53.785835,80.862274,1404.4321
2.42,53.77239,80.842064,1404.081
2.4250000000000003,53.758945,80.82185,1403.7301
2.43,53.74551,80.80165,1403.3792
2.435,53.73208,80.781456,1403.0284
2.44,53.718643,80.76126,1402.6777
2.445,53.705215,80.74107,1402.327
2.45,53.69179,80.72089,1401.9766
2.455,53.67837,80.700714,1401.6261
2.46,53.66495,80.680534,1401.2758
2.465,53.65154,80.66037,1400.9254
2.47,53.638126,80.64021,1400.5753
2.475,53.624718,80.62005,1400.2252
2.48,53.611313,80.5999,1399.8751
2.485,53.59791,80.57975,1399.5253
2.49,53.584515,80.55961,1399.1754
2.495,53.57112,80.53947,1398.8257
2.5,53.557728,80.51934,1398.476
2.505,53.544342,80.499214,1398.1263
2.51,53.530956,80.47909,1397.777
2.515,53.51758,80.45897,1397.4275
2.52,53.5042,80.43886,1397.0782
2.525,53.49082,80.41875,1396.729
2.53,53.47745,80.39865,1396.3799
2.535,53.46409,80.378555,1396.0309
2.54,53.45072,80.35846,1395.6819
2.545,53.437363,80.33838,1395.333
2.5500000000000003,53.424004,80.31829,1394.9841
2.555,53.41065,80.29822,1394.6355
2.56,53.397297,80.278145,1394.2869
2.565,53.38395,80.25807,1393.9384
2.57,53.370605,80.238014,1393.5898
2.575,53.35726,80.21796,1393.2415
2.58,53.343925,80.19791,1392.8933
2.585,53.330593,80.17786,1392.545
2.59,53.31726,80.15782,1392.197
2.595,53.303932,80.13778,1391.849
2.6,53.29061,80.11775,1391.5011
2.605,53.277287,80.09772,1391.1532
2.61,53.263973,80.0777,1390.8055
2.615,53.250656,80.05768,1390.4579
2.62,53.237343,80.03767,1390.1102
2.625,53.224037,80.01766,1389.7627
2.63,53.21073,79.99766,1389.4154
2.635,53.19743,79.97766,1389.068
2.64,53.184135,79.95767,1388.7208
2.645,53.17084,79.93768,1388.3737
2.65,53.15755,79.9177,1388.0267
2.655,53.14426,79.89772,1387.6797
2.66,53.130978,79.877754,1387.3328
2.665,53.117695,79.85779,1386.986
2.67,53.10442,79.83782,1386.6393
2.6750000000000003,53.091145,79.81786,1386.2927
2.68,53.07787,79.79791,1385.9462
2.685,53.064606,79.77797,1385.5997
2.69,53.051342,79.758026,1385.2534
2.695,53.03808,79.73809,1384.9071
2.7,53.02482,79.718155,1384.5609
2.705,53.011566,79.69823,1384.2148
2.71,52.998314,79.67831,1383.8688
2.715,52.98507,79.658394,1383.523
2.72,52.97182,79.63848,1383.177
2.725,52.95858,79.618576,1382.8313
2.73,52.945343,79.59867,1382.4856
2.735,52.93211,79.57877,1382.1401
2.74,52.918877,79.55888,1381.7946
2.745,52.90565,79.538994,1381.4492
2.75,52.892426,79.51911,1381.1039
2.755,52.879204,79.49924,1380.7587
2.76,52.865986,79.47936,1380.4135
2.765,52.85277,79.459496,1380.0685
2.77,52.839558,79.43963,1379.7234
2.775,52.82635,79.41978,1379.3785
2.78,52.81315,79.399925,1379.0338
2.785,52.799942,79.38007,1378.689
2.79,52.786747,79.36024,1378.3445
2.795,52.773552,79.34039,1377.9999
2.8000000000000003,52.76036,79.320564,1377.6554
2.805,52.74717,79.300735,1377.311
2.81,52.733986,79.280914,1376.9668
2.815,52.720802,79.26109,1376.6226
2.82,52.707626,79.24128,1376.2784
2.825,52.69445,79.22147,1375.9344
2.83,52.68128,79.20167,1375.5905
2.835,52.66811,79.18188,1375.2466
2.84,52.65494,79.16208,1374.9028
2.845,52.64178,79.142296,1374.5592
2.85,52.628624,79.122505,1374.2156
2.855,52.615467,79.10273,1373.8721
2.86,52.602314,79.082954,1373.5286
2.865,52.589165,79.06319,1373.1853
2.87,52.57602,79.04343,1372.842
2.875,52.562878,79.02367,1372.4989
2.88,52.54974,79.003914,1372.1558
2.885,52.536602,78.98416,1371.8127
2.89,52.52347,78.964424,1371.4698
